"Campaign performance report #572b8e0bf07a9 (May 5, 2016)"
Campaign ID,Campaign,Account,Budget ID,Campaign state,Campaign serving status,Impressions,Clicks,CTR,Avg. CPC,Cost,Conversions
358524412,Campaign #1,Test Account Second,419235412,enabled,eligible,0,0,0.00%,0,0,0.0
Total, --, --, --, --, --,0,0,0.00%,0,0,0.0
